FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;PERIODO
9012023;1;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;28423;27548;875;6939.28;2014
9012023;2;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;291;151;140;47.95;2014
9012023;3;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1615;299;1316;69.95;2014
9012023;4;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;597;388;209;90.84;2014
9012023;5;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;737;197;540;46.26;2014
9012023;6;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2096;630;1466;147.50;2014
9012023;7;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;395;133;262;42.09;2014
9012023;8;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1240;1231;9;288.34;2014
9012023;9;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5551;2442;3109;775.22;2014
9012023;10;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4200;1991;2209;631.92;2014
9012023;11;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;893;458;435;107.37;2014
9012023;12;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;815;643;172;204.03;2014
9012023;13;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;1034;498;536;158.03;2014
9012023;14;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2737;720;2017;211.35;2014
9012023;15;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;608;545;63;172.89;2014
9012023;16;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;365;107;258;33.94;2014
9012023;17;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;865;132;733;42.04;2014
9012023;18;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;347;262;85;83.16;2014
9012023;19;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;712;491;221;155.84;2014
9012023;20;10120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1346;284;1062;90.11;2014
9012023;21;10121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;224;100;124;31.81;2014
9012023;22;10201;SELVA;AMAZONAS;BAGUA;BAGUA ;26017;23083;2934;5856.16;2014
9012023;23;10202;SELVA;AMAZONAS;BAGUA;ARAMANGO;11221;2606;8615;788.03;2014
9012023;24;10203;SELVA;AMAZONAS;BAGUA;COPALLIN;6389;1933;4456;613.53;2014
